F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 I     0     277       2  0  80   0 -     0 -      ?        00:00:00 kworker/5:2-events
1 S     0     278       2  0   9   - -     0 -      ?        00:00:00 irq/177-ELAN0525:00
1 I     0     280       2  0  80   0 -     0 -      ?        00:00:00 kworker/11:2-events
1 I     0     281       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-nvme-wq
1 I     0     282       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-nvme-reset-wq
1 I     0     283       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-nvme-delete-wq
1 I     0     284       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-nvme-auth-wq
1 I     0     285       2  0  80   0 -     0 -      ?        00:00:00 kworker/10:2-mm_percpu_wq
1 S     0     326       2  0  80   0 -     0 -      ?        00:00:00 jbd2/nvme0n1p6-8
1 I     0     327       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ext4-rsv-conversion
4 S     0     381       1  0  79  -1 - 12648 -      ?        00:00:00 systemd-journal
1 I     0     414       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:4-loop16
1 I     0     415       2  0  80   0 -     0 -      ?        00:00:00 kworker/9:2-events
1 I     0     417       2  0  80   0 -     0 -      ?        00:00:00 kworker/7:2-mm_percpu_wq
4 S     0     447       1  0  80   0 -  7791 -      ?        00:00:00 systemd-udevd
1 I     0     498       2  0  80   0 -     0 -      ?        00:00:00 kworker/3:2-cgroup_free
1 I     0     499       2  0  80   0 -     0 -      ?        00:00:00 kworker/3:3-events
1 S     0     504       2  0  58   - -     0 -      ?        00:00:00 psimon
1 I     0     527       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:5-loop12
1 I     0     529       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:6-loop18
1 I     0     530       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:7-loop13
1 I     0     532       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:8-flush-259:0
1 I     0     534       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:9-events_unbound
1 I     0     536       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:10-loop28
1 I     0     541       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:11-loop4
1 I     0     542       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:12-loop22
1 I     0     544       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:13-loop13
1 I     0     545       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:14-loop11
1 I     0     546       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:15-loop21
1 I     0     547       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:16-loop2
1 I     0     548       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:17-loop10
1 I     0     549       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:18-loop2
1 I     0     551       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:19-kvfree_rcu_reclaim
1 I     0     553       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:20-loop20
1 I     0     554       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:21-kvfree_rcu_reclaim
1 I     0     555       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:22-loop13
1 I     0     556       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:23
1 I     0     557       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:24
1 I     0     586       2  0  80   0 -     0 -      ?        00:00:00 kworker/4:2-cgroup_free
1 I     0     588       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:2-events_freezable
1 S     0     620       2  0   9   - -     0 -      ?        00:00:00 irq/16-processor_thermal_device_pci
1 S     0     621       2  0   9   - -     0 -      ?        00:00:00 irq/193-mei_me
1 I     0     649       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-cfg80211
1 S     0     708       2  0  80   0 -     0 -      ?        00:00:00 nv_queue
1 S     0     709       2  0  80   0 -     0 -      ?        00:00:00 nv_mem_pool_scrubber_queue
1 S     0     710       2  0  80   0 -     0 -      ?        00:00:00 nv_mem_pool_scrubber_queue
1 S     0     711       2  0  80   0 -     0 -      ?        00:00:00 nv_mem_pool_scrubber_queue
1 S     0     712       2  0  80   0 -     0 -      ?        00:00:00 nv_queue
1 S     0     713       2  0  80   0 -     0 -      ?        00:00:00 nv_open_q
1 I     0     719       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ttm
1 S     0     721       2  0   9   - -     0 -      ?        00:00:00 card1-crtc0
1 S     0     722       2  0   9   - -     0 -      ?        00:00:00 card1-crtc1
1 S     0     723       2  0   9   - -     0 -      ?        00:00:00 card1-crtc2
1 S     0     724       2  0   9   - -     0 -      ?        00:00:00 card1-crtc3
1 S     0     729       2  0  80   0 -     0 -      ?        00:00:00 nvidia-modeset/kthread_q
1 S     0     730       2  0  80   0 -     0 -      ?        00:00:00 nvidia-modeset/deferred_close_kthread_q
1 S     0     737       2  0   9   - -     0 -      ?        00:00:00 irq/195-nvidia
1 S     0     738       2  0  80   0 -     0 -      ?        00:00:00 nvidia
1 S     0     739       2  0  80   0 -     0 -      ?        00:00:00 nv_queue
1 I     0     741       2  0  80   0 -     0 -      ?        00:00:00 kworker/2:3
1 I     0     742       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u49:1-hci0
1 I     0     746       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u49:2-hci0
1 I     0     793       2  0  80   0 -     0 -      ?        00:00:00 kworker/6:2-cgroup_offline
1 I     0     865       2  0  80   0 -     0 -      ?        00:00:00 kworker/6:3-pm
4 S   990     868       1  0  80   0 -  4393 -      ?        00:00:00 systemd-oomd
4 S   991     877       1  0  80   0 -  5337 -      ?        00:00:00 systemd-resolve
4 S   996     882       1  0  80   0 - 22765 -      ?        00:00:00 systemd-timesyn
1 S     0     906       2  0  80   0 -     0 -      ?        00:00:00 napi/phy0-0
1 S     0     907       2  0  80   0 -     0 -      ?        00:00:00 napi/phy0-0
1 S     0     908       2  0  80   0 -     0 -      ?        00:00:00 napi/phy0-0
1 I     0     909       2  0  80   0 -     0 -      ?        00:00:00 kworker/8:2-events
4 S   108     968       1  0  80   0 -  2169 -      ?        00:00:00 avahi-daemon
4 S     0     969       1  0  80   0 -  3391 -      ?        00:00:00 bluetoothd
4 S   101     970       1  0  80   0 -  2701 -      ?        00:00:00 dbus-daemon
4 S   987     975       1  0  80   0 - 96107 -      ?        00:00:00 polkitd
4 S     0     979       1  0  80   0 - 628963 -     ?        00:00:00 snapd
4 S     0     980       1  0  80   0 -  2358 -      ?        00:00:00 cron
4 S     0     982       1  0  80   0 -  4552 -      ?        00:00:00 systemd-logind
4 S     0     983       1  0  80   0 - 106229 -     ?        00:00:00 thermald
1 S   108    1017     968  0  80   0 -  2122 -      ?        00:00:00 avahi-daemon
4 S     0    1025       1  0  80   0 - 84196 -      ?        00:00:00 NetworkManager
4 S     0    1031       1  0  80   0 -  4605 -      ?        00:00:00 wpa_supplicant
1 I     0    1038       2  0  80   0 -     0 -      ?        00:00:00 kworker/8:3-events
4 S   102    1065       1  0  80   0 - 55643 -      ?        00:00:00 rsyslogd
1 I     0    1069       2  0  80   0 -     0 -      ?        00:00:00 kworker/6:4-cgroup_release
4 S     0    1073       1  0  80   0 - 98026 -      ?        00:00:00 ModemManager
4 S     0    1076       1  0  80   0 - 78380 -      ?        00:00:00 boltd
4 S     0    1230       1  0  80   0 - 79304 -      ?        00:00:00 upowerd
1 S     0    1666       2  0   9   - -     0 -      ?        00:00:00 irq/197-AudioDSP
1 I     0    1672       2  0  80   0 -     0 -      ?        00:00:00 kworker/11:3-events
1 S     0    1682       2  0  58   - -     0 -      ?        00:00:00 mt76-tx phy0
1 S     0    1832       2  0  80   0 -     0 -      ?        00:00:00 UVM global queue
1 S     0    1834       2  0  80   0 -     0 -      ?        00:00:00 UVM deferred release queue
1 S     0    1836       2  0  80   0 -     0 -      ?        00:00:00 UVM Tools Event Queue
1 I     0    1895       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-iprt-VBoxWQueue
5 S   122    1896       1  0  80   0 -   833 -      ?        00:00:00 nvidia-persiste
1 S     0    1899       2  0  80   0 -     0 -      ?        00:00:00 iprt-VBoxTscThread
4 S     0    1943       1  0  80   0 -  9603 -      ?        00:00:00 cupsd
4 S     0    1944       1  0  80   0 - 236928 -     ?        00:00:00 fail2ban-server
4 S     0    1953       1  0  80   0 - 29514 -      ?        00:00:00 unattended-upgr
4 S     0    1990       1  0  80   0 -  1818 -      tty1     00:00:00 login
4 S   123    2000       1  2  80   0 - 577699 -     ?        00:00:02 mysqld
1 I     0    2001       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:3
4 S     0    2045       1  0  80   0 -  3008 -      ?        00:00:00 sshd
4 S   115    2112       1  0  80   0 - 67119 -      ?        00:00:00 cups-browsed
1 S   106    2116       1  0  80   0 -  3188 -      ?        00:00:00 kerneloops
1 S   106    2124       1  0  80   0 -  3188 -      ?        00:00:00 kerneloops
4 S   125    2132       1  0  80   0 - 247384 -     ?        00:00:00 tor
1 S     0    2205       2  0  58   - -     0 -      ?        00:00:00 psimon
4 S  1000    2207       1  0  80   0 -  5291 -      ?        00:00:00 systemd
5 S  1000    2208    2207  0  80   0 -  5368 -      ?        00:00:00 (sd-pam)
0 S  1000    2221    2207  0  69 -11 - 28543 ep_pol ?        00:00:00 pipewire
0 S  1000    2222    2207  0  80   0 - 24436 ep_pol ?        00:00:00 pipewire
4 S  1000    2223    2207  0  80   0 - 41164 poll_s ?        00:00:00 user-session-he
0 S  1000    2224    2207  0  69 -11 - 101518 poll_s ?       00:00:00 wireplumber
4 S  1000    2225    1990  0  80   0 -  2882 do_wai tty1     00:00:00 bash
0 S  1000    2226    2207  0  69 -11 - 27354 ep_pol ?        00:00:00 pipewire-pulse
0 S  1000    2233    2207  0  80   0 -  2373 ep_pol ?        00:00:00 dbus-daemon
4 S   117    2248       1  0  81   1 -  5737 -      ?        00:00:00 rtkit-daemon
0 S  1000    2271    2207  0  80   0 - 134142 poll_s ?       00:00:00 xdg-document-po
0 S  1000    2285    2207  0  80   0 - 77329 poll_s ?        00:00:00 xdg-permission-
4 S     0    2292    2271  0  80   0 -   678 -      ?        00:00:00 fusermount3
5 S     0    2306       2  0  70 -10 -     0 -      ?        00:00:00 krfcommd
